date,type,count
2019-04-29,Journal,76
2019-04-28,Journal,1
2019-04-27,Journal,28
2019-04-26,Journal,25
2019-04-25,Journal,80
2019-04-25,Book,1
2019-04-24,Journal,47
2019-04-23,Journal,98
2019-04-22,Journal,20
2019-04-20,Journal,1
2019-04-19,Journal,66
2019-04-18,Journal,63
2019-04-17,Journal,35
2019-04-16,Journal,61
2019-04-15,Journal,609
2019-04-14,Journal,3
2019-04-13,Journal,12
2019-04-12,Journal,65
2019-04-11,Journal,109
2019-04-10,Journal,40
2019-04-09,Journal,95
2019-04-08,Journal,82
2019-04-07,Journal,1
2019-04-06,Journal,13
2019-04-05,Journal,145
2019-04-04,Journal,95
2019-04-03,Journal,90
2019-04-02,Journal,75
2019-04-02,Book,1
2019-04-01,Journal,1034
2019-03-30,Journal,51
2019-03-29,Journal,114
2019-03-28,Journal,63
2019-03-27,Journal,52
2019-03-26,Journal,45
2019-03-25,Journal,63
2019-03-23,Journal,4
2019-03-22,Journal,45
2019-03-21,Journal,78
2019-03-20,Journal,82
2019-03-19,Journal,49
2019-03-18,Journal,95
2019-03-16,Journal,28
2019-03-15,Journal,553
2019-03-14,Journal,138
2019-03-13,Journal,104
2019-03-12,Journal,86
2019-03-11,Journal,109
2019-03-09,Journal,21
2019-03-08,Journal,110
2019-03-07,Journal,126
2019-03-06,Journal,125
2019-03-06,Book,1
2019-03-05,Journal,113
2019-03-04,Journal,178
2019-03-02,Journal,25
2019-03-01,Journal,891
2019-02-28,Journal,150
2019-02-27,Journal,84
2019-02-26,Journal,76
2019-02-25,Journal,55
2019-02-23,Journal,3
2019-02-23,Book,1
2019-02-22,Journal,62
2019-02-21,Journal,81
2019-02-20,Journal,97
2019-02-19,Journal,75
2019-02-18,Journal,63
2019-02-16,Journal,1
2019-02-15,Journal,734
2019-02-14,Journal,121
2019-02-13,Journal,122
2019-02-12,Journal,72
2019-02-11,Journal,157
2019-02-09,Journal,22
2019-02-08,Journal,121
2019-02-07,Journal,143
2019-02-06,Journal,88
2019-02-05,Journal,77
2019-02-04,Journal,176
2019-02-03,Journal,2
2019-02-02,Journal,16
2019-02-01,Journal,742
2019-01-31,Journal,112
2019-01-30,Journal,98
2019-01-29,Journal,82
2019-01-28,Journal,110
2019-01-26,Journal,8
2019-01-25,Journal,92
2019-01-24,Journal,149
2019-01-23,Journal,106
2019-01-23,Book,1
2019-01-22,Journal,117
2019-01-21,Journal,58
2019-01-19,Journal,9
2019-01-18,Journal,75
2019-01-17,Journal,81
2019-01-16,Journal,44
2019-01-15,Journal,377
2019-01-14,Journal,46
2019-01-13,Journal,1
2019-01-12,Journal,11
2019-01-11,Journal,47
2019-01-10,Journal,104
2019-01-09,Journal,50
2019-01-08,Journal,78
2019-01-07,Journal,56
2019-01-06,Journal,2
2019-01-05,Journal,36
2019-01-04,Journal,32
2019-01-03,Journal,93
2019-01-02,Journal,46
2019-01-01,Book,7268
2019-01-01,Journal,705
2018-12-31,Journal,15
2018-12-30,Journal,3
2018-12-29,Journal,41
2018-12-28,Journal,19
2018-12-27,Journal,33
2018-12-26,Journal,8
2018-12-25,Journal,1
2018-12-24,Journal,13
2018-12-22,Journal,19
2018-12-21,Journal,38
2018-12-21,Book,1
2018-12-20,Journal,49
2018-12-19,Journal,43
2018-12-18,Journal,99
2018-12-17,Journal,59
2018-12-15,Journal,84
2018-12-14,Journal,50
2018-12-13,Journal,72
2018-12-12,Journal,64
2018-12-11,Journal,46
2018-12-10,Journal,39
2018-12-09,Journal,1
2018-12-08,Journal,11
2018-12-07,Journal,70
2018-12-07,Book,1
2018-12-06,Journal,41
2018-12-05,Journal,72
2018-12-04,Journal,63
2018-12-03,Journal,48
2018-12-01,Journal,2325
2018-11-30,Journal,48
2018-11-29,Journal,61
2018-11-28,Journal,32
2018-11-27,Journal,47
2018-11-27,Book,1
2018-11-26,Journal,69
2018-11-24,Journal,14
2018-11-23,Journal,46
2018-11-22,Journal,61
2018-11-21,Journal,66
2018-11-20,Journal,78
2018-11-19,Journal,62
2018-11-18,Journal,1
2018-11-17,Journal,11
2018-11-16,Journal,63
2018-11-15,Journal,97
2018-11-14,Journal,52
2018-11-13,Journal,50
2018-11-12,Journal,55
2018-11-11,Journal,3
2018-11-10,Journal,8
2018-11-09,Journal,49
2018-11-08,Journal,85
2018-11-07,Journal,44
2018-11-07,Book,1
2018-11-06,Journal,60
2018-11-05,Journal,37
2018-11-04,Journal,1
2018-11-03,Journal,28
2018-11-02,Journal,87
2018-11-01,Journal,1641
2018-10-31,Journal,51
2018-10-30,Journal,66
2018-10-29,Journal,62
2018-10-28,Journal,4
2018-10-27,Journal,19
2018-10-26,Journal,50
2018-10-25,Journal,76
2018-10-24,Journal,47
2018-10-23,Journal,54
2018-10-22,Journal,67
2018-10-20,Journal,15
2018-10-19,Journal,66
2018-10-18,Journal,59
2018-10-17,Journal,34
2018-10-16,Journal,36
2018-10-15,Journal,73
2018-10-14,Journal,4
2018-10-13,Journal,2
2018-10-12,Journal,39
2018-10-11,Journal,75
2018-10-10,Journal,46
2018-10-09,Journal,42
2018-10-08,Journal,51
2018-10-06,Journal,10
2018-10-05,Journal,39
2018-10-04,Journal,62
2018-10-03,Journal,74
2018-10-02,Journal,65
2018-10-01,Journal,1968
2018-09-30,Journal,1
2018-09-29,Journal,18
2018-09-28,Journal,38
2018-09-27,Journal,51
2018-09-26,Journal,61
2018-09-25,Journal,57
2018-09-24,Journal,80
2018-09-22,Journal,6
2018-09-21,Journal,63
2018-09-20,Journal,92
2018-09-19,Journal,29
2018-09-18,Journal,35
2018-09-17,Journal,64
2018-09-15,Journal,38
2018-09-14,Journal,42
2018-09-13,Journal,36
2018-09-12,Journal,47
2018-09-11,Journal,56
2018-09-10,Journal,46
2018-09-09,Book,1
2018-09-08,Journal,3
2018-09-07,Journal,36
2018-09-06,Journal,50
2018-09-05,Journal,57
2018-09-04,Journal,38
2018-09-03,Journal,51
2018-09-01,Journal,1711
2018-08-31,Journal,25
2018-08-30,Journal,59
2018-08-29,Journal,73
2018-08-28,Journal,62
2018-08-27,Journal,34
2018-08-25,Book,1
2018-08-25,Journal,6
2018-08-24,Journal,54
2018-08-23,Journal,48
2018-08-22,Journal,44
2018-08-21,Journal,21
2018-08-20,Journal,43
2018-08-19,Journal,3
2018-08-18,Journal,6
2018-08-17,Journal,51
2018-08-17,Book,1
2018-08-16,Journal,43
2018-08-15,Journal,24
2018-08-14,Journal,31
2018-08-13,Journal,42
2018-08-12,Journal,1
2018-08-11,Journal,5
2018-08-10,Journal,37
2018-08-09,Journal,39
2018-08-08,Journal,19
2018-08-08,Book,1
2018-08-07,Journal,36
2018-08-06,Journal,61
2018-08-04,Journal,7
2018-08-03,Journal,30
2018-08-02,Journal,40
2018-08-02,Book,1
2018-08-01,Journal,1661
2018-07-31,Journal,25
2018-07-30,Journal,29
2018-07-29,Book,1
2018-07-28,Journal,13
2018-07-27,Journal,49
2018-07-26,Journal,43
2018-07-25,Journal,28
2018-07-24,Journal,47
2018-07-23,Journal,44
2018-07-21,Journal,9
2018-07-20,Journal,44
2018-07-19,Journal,51
2018-07-18,Journal,49
2018-07-17,Journal,42
2018-07-16,Journal,48
2018-07-15,Journal,2
2018-07-14,Journal,2
2018-07-13,Journal,39
2018-07-13,Book,1
2018-07-12,Journal,42
2018-07-11,Journal,45
2018-07-10,Journal,35
2018-07-09,Journal,57
2018-07-08,Journal,1
2018-07-07,Journal,6
2018-07-06,Journal,32
2018-07-05,Journal,38
2018-07-04,Journal,46
2018-07-03,Journal,68
2018-07-02,Journal,44
2018-07-01,Journal,1514
2018-06-30,Journal,5
2018-06-29,Journal,24
2018-06-28,Journal,59
2018-06-27,Journal,26
2018-06-26,Journal,29
2018-06-25,Journal,42
2018-06-24,Journal,2
2018-06-23,Journal,7
2018-06-22,Journal,27
2018-06-21,Journal,32
2018-06-20,Journal,32
2018-06-20,Book,1
2018-06-19,Journal,46
2018-06-18,Journal,64
2018-06-17,Journal,1
2018-06-16,Journal,5
2018-06-15,Journal,46
2018-06-14,Journal,43
2018-06-13,Journal,44
2018-06-12,Journal,28
2018-06-11,Journal,45
2018-06-10,Book,1
2018-06-09,Journal,11
2018-06-08,Journal,43
2018-06-07,Journal,60
2018-06-06,Journal,19
2018-06-05,Journal,43
2018-06-04,Journal,52
2018-06-03,Journal,1
2018-06-02,Journal,3
2018-06-01,Journal,1873
2018-05-31,Journal,55
2018-05-30,Journal,38
2018-05-29,Journal,85
2018-05-29,Book,1
2018-05-28,Journal,9
2018-05-27,Journal,1
2018-05-26,Journal,6
2018-05-25,Journal,48
2018-05-24,Journal,62
2018-05-23,Journal,49
2018-05-22,Journal,70
2018-05-21,Journal,40
2018-05-19,Journal,8
2018-05-18,Journal,37
2018-05-17,Journal,30
2018-05-16,Journal,45
2018-05-15,Journal,38
2018-05-14,Journal,32
2018-05-12,Journal,7
2018-05-11,Journal,37
2018-05-10,Journal,86
2018-05-10,Book,1
2018-05-09,Journal,72
2018-05-08,Journal,54
2018-05-07,Journal,6
2018-05-05,Journal,6
2018-05-04,Journal,37
2018-05-03,Journal,62
2018-05-03,Book,1
2018-05-02,Journal,71
2018-05-01,Journal,1409
2018-04-30,Journal,49
2018-04-29,Journal,2
2018-04-28,Journal,4
2018-04-27,Journal,70
2018-04-26,Journal,43
2018-04-25,Journal,38
2018-04-24,Journal,38
2018-04-24,Book,1
2018-04-23,Journal,32
2018-04-22,Journal,5
2018-04-21,Journal,3
2018-04-20,Journal,36
2018-04-19,Journal,52
2018-04-18,Journal,55
2018-04-17,Journal,33
2018-04-16,Journal,43
2018-04-13,Journal,36
2018-04-12,Journal,35
2018-04-11,Journal,51
2018-04-10,Journal,43
2018-04-09,Journal,27
2018-04-07,Journal,4
2018-04-06,Journal,30
2018-04-05,Journal,27
2018-04-04,Journal,37
2018-04-03,Journal,76
2018-04-02,Journal,25
2018-04-01,Journal,1772
2018-03-31,Journal,4
2018-03-30,Journal,5
2018-03-29,Journal,57
2018-03-28,Journal,26
2018-03-27,Journal,52
2018-03-26,Journal,27
2018-03-25,Journal,1
2018-03-24,Journal,2
2018-03-23,Journal,25
2018-03-22,Journal,61
2018-03-21,Journal,43
2018-03-20,Journal,52
2018-03-19,Journal,53
2018-03-17,Journal,5
2018-03-16,Journal,46
2018-03-15,Journal,58
2018-03-14,Journal,65
2018-03-13,Journal,57
2018-03-12,Journal,46
2018-03-10,Journal,5
2018-03-09,Journal,37
2018-03-08,Journal,37
2018-03-07,Journal,51
2018-03-06,Journal,42
2018-03-05,Journal,37
2018-03-04,Journal,1
2018-03-03,Journal,4
2018-03-02,Journal,45
2018-03-01,Journal,1867
2018-02-28,Journal,44
2018-02-27,Journal,54
2018-02-26,Journal,47
2018-02-24,Journal,3
2018-02-23,Journal,46
2018-02-22,Journal,60
2018-02-21,Journal,45
2018-02-20,Journal,62
2018-02-19,Journal,37
2018-02-17,Journal,14
2018-02-16,Journal,32
2018-02-15,Journal,80
2018-02-14,Journal,70
2018-02-13,Journal,60
2018-02-12,Journal,47
2018-02-10,Journal,9
2018-02-09,Journal,58
2018-02-08,Journal,66
2018-02-07,Journal,90
2018-02-06,Journal,44
2018-02-05,Journal,62
2018-02-04,Journal,2
2018-02-03,Journal,5
2018-02-02,Journal,66
2018-02-01,Journal,1796
2018-01-31,Journal,55
2018-01-30,Journal,43
2018-01-29,Journal,44
2018-01-27,Journal,3
2018-01-26,Journal,47
2018-01-25,Journal,63
2018-01-24,Journal,59
2018-01-23,Journal,47
2018-01-22,Journal,52
2018-01-21,Journal,2
2018-01-20,Journal,8
2018-01-19,Journal,65
2018-01-18,Journal,91
2018-01-17,Journal,47
2018-01-16,Journal,52
2018-01-15,Journal,44
2018-01-13,Journal,8
2018-01-12,Journal,54
2018-01-11,Journal,48
2018-01-10,Journal,52
2018-01-09,Journal,39
2018-01-08,Journal,53
2018-01-07,Journal,1
2018-01-06,Journal,7
2018-01-06,Book,1
2018-01-05,Journal,36
2018-01-04,Journal,42
2018-01-03,Journal,17
2018-01-02,Journal,21
2018-01-01,Book,6735
2018-01-01,Journal,1675
2017-12-30,Journal,4
2017-12-29,Journal,19
2017-12-28,Journal,37
2017-12-27,Journal,20
2017-12-26,Journal,10
2017-12-25,Journal,4
2017-12-23,Journal,1
2017-12-22,Journal,54
2017-12-21,Journal,60
2017-12-20,Journal,41
2017-12-19,Journal,63
2017-12-18,Journal,33
2017-12-16,Journal,19
2017-12-15,Journal,30
2017-12-14,Journal,40
2017-12-13,Journal,58
2017-12-12,Journal,68
2017-12-11,Journal,41
2017-12-09,Journal,4
2017-12-08,Journal,46
2017-12-07,Journal,39
2017-12-06,Journal,53
2017-12-05,Journal,49
2017-12-04,Journal,75
2017-12-03,Journal,2
2017-12-02,Journal,17
2017-12-01,Journal,2139
2017-11-30,Journal,59
2017-11-29,Journal,28
2017-11-28,Journal,50
2017-11-27,Journal,51
2017-11-26,Journal,1
2017-11-25,Journal,22
2017-11-24,Journal,40
2017-11-23,Journal,61
2017-11-22,Journal,42
2017-11-21,Journal,63
2017-11-20,Journal,19
2017-11-18,Journal,3
2017-11-17,Journal,29
2017-11-16,Journal,65
2017-11-15,Journal,37
2017-11-14,Journal,50
2017-11-13,Journal,48
2017-11-11,Journal,2
2017-11-10,Journal,51
2017-11-09,Journal,51
2017-11-08,Journal,38
2017-11-07,Journal,53
2017-11-06,Journal,36
2017-11-04,Journal,4
2017-11-03,Journal,29
2017-11-02,Journal,57
2017-11-01,Journal,1549
2017-10-31,Journal,28
2017-10-30,Journal,51
2017-10-29,Journal,5
2017-10-28,Journal,1
2017-10-27,Journal,38
2017-10-26,Journal,50
2017-10-26,Book,1
2017-10-25,Journal,31
2017-10-24,Journal,37
2017-10-23,Journal,54
2017-10-22,Journal,4
2017-10-21,Journal,1
2017-10-20,Journal,29
2017-10-19,Journal,51
2017-10-18,Journal,41
2017-10-17,Journal,40
2017-10-16,Journal,50
2017-10-14,Journal,5
2017-10-13,Journal,44
2017-10-12,Journal,51
2017-10-11,Journal,37
2017-10-10,Journal,36
2017-10-09,Journal,15
2017-10-08,Journal,1
2017-10-07,Journal,6
2017-10-06,Journal,21
2017-10-05,Journal,35
2017-10-04,Journal,27
2017-10-03,Journal,39
2017-10-03,Book,1
2017-10-02,Journal,40
2017-10-01,Journal,1854
2017-09-30,Journal,10
2017-09-29,Journal,45
2017-09-28,Journal,22
2017-09-27,Journal,15
2017-09-26,Journal,31
2017-09-25,Journal,26
2017-09-24,Journal,3
2017-09-23,Journal,6
2017-09-22,Journal,37
2017-09-21,Journal,46
2017-09-20,Journal,37
2017-09-19,Journal,41
2017-09-18,Journal,40
2017-09-16,Journal,10
2017-09-15,Journal,43
2017-09-14,Journal,43
2017-09-13,Journal,30
2017-09-12,Journal,62
2017-09-11,Journal,67
2017-09-10,Journal,3
2017-09-09,Journal,4
2017-09-08,Journal,34
2017-09-07,Journal,66
2017-09-06,Journal,74
2017-09-05,Journal,67
2017-09-04,Journal,37
2017-09-03,Journal,2
2017-09-02,Journal,10
2017-09-01,Journal,1697
2017-08-31,Journal,64
2017-08-30,Journal,53
2017-08-29,Journal,103
2017-08-28,Journal,8
2017-08-25,Journal,40
2017-08-24,Journal,53
2017-08-23,Journal,47
2017-08-22,Journal,61
2017-08-21,Journal,77
2017-08-19,Journal,6
2017-08-18,Journal,64
2017-08-17,Journal,66
2017-08-16,Journal,28
2017-08-15,Journal,54
2017-08-14,Journal,52
2017-08-12,Journal,3
2017-08-11,Journal,32
2017-08-10,Journal,48
2017-08-09,Journal,34
2017-08-08,Journal,57
2017-08-07,Journal,26
2017-08-05,Journal,4
2017-08-04,Journal,44
2017-08-03,Journal,39
2017-08-02,Journal,26
2017-08-01,Journal,1757
2017-07-31,Journal,39
2017-07-29,Journal,7
2017-07-28,Journal,32
2017-07-27,Journal,49
2017-07-26,Journal,39
2017-07-25,Journal,46
2017-07-24,Journal,70
2017-07-22,Journal,3
2017-07-21,Journal,40
2017-07-20,Journal,46
2017-07-19,Journal,60
2017-07-18,Journal,40
2017-07-17,Journal,65
2017-07-16,Journal,1
2017-07-15,Journal,5
2017-07-14,Journal,54
2017-07-13,Journal,53
2017-07-12,Journal,41
2017-07-11,Journal,52
2017-07-10,Journal,43
2017-07-08,Journal,5
2017-07-07,Journal,30
2017-07-06,Journal,50
2017-07-05,Journal,42
2017-07-04,Journal,50
2017-07-03,Journal,37
2017-07-01,Journal,1624
2017-06-30,Journal,33
2017-06-29,Journal,50
2017-06-28,Journal,22
2017-06-27,Journal,33
2017-06-26,Journal,36
2017-06-24,Journal,18
2017-06-23,Journal,29
2017-06-22,Journal,42
2017-06-21,Journal,48
2017-06-20,Journal,31
2017-06-19,Journal,41
2017-06-17,Journal,11
2017-06-16,Journal,47
2017-06-15,Journal,47
2017-06-14,Journal,29
2017-06-13,Journal,33
2017-06-12,Journal,55
2017-06-10,Journal,4
2017-06-09,Journal,34
2017-06-08,Journal,57
2017-06-07,Journal,51
2017-06-06,Journal,54
2017-06-05,Journal,46
2017-06-03,Journal,3
2017-06-02,Journal,37
2017-06-01,Journal,2037
2017-05-31,Journal,44
2017-05-30,Journal,59
2017-05-29,Journal,11
2017-05-27,Journal,4
2017-05-26,Journal,24
2017-05-25,Journal,63
2017-05-24,Journal,39
2017-05-23,Journal,40
2017-05-22,Journal,41
2017-05-20,Journal,4
2017-05-19,Journal,49
2017-05-18,Journal,52
2017-05-17,Journal,32
2017-05-16,Journal,36
2017-05-15,Journal,32
2017-05-13,Journal,3
2017-05-12,Journal,43
2017-05-11,Journal,53
2017-05-10,Journal,50
2017-05-09,Journal,20
2017-05-08,Journal,36
2017-05-06,Journal,3
2017-05-05,Journal,18
2017-05-04,Journal,38
2017-05-03,Journal,40
2017-05-02,Journal,52
2017-05-01,Journal,1631
2017-04-29,Journal,2
2017-04-28,Journal,34
2017-04-27,Journal,35
2017-04-26,Journal,41
2017-04-25,Journal,30
2017-04-24,Journal,47
2017-04-22,Journal,5
2017-04-21,Journal,59
2017-04-20,Journal,66
2017-04-19,Journal,38
2017-04-18,Journal,39
2017-04-17,Journal,20
2017-04-15,Journal,1
2017-04-14,Journal,13
2017-04-13,Journal,51
2017-04-12,Journal,40
2017-04-11,Journal,57
2017-04-10,Journal,54
2017-04-09,Journal,3
2017-04-08,Journal,13
2017-04-07,Journal,60
2017-04-06,Journal,60
2017-04-05,Journal,40
2017-04-04,Journal,78
2017-04-03,Journal,46
2017-04-02,Journal,2
2017-04-01,Journal,1758
2017-03-31,Journal,46
2017-03-30,Journal,54
2017-03-29,Journal,21
2017-03-28,Journal,56
2017-03-27,Journal,61
2017-03-25,Journal,5
2017-03-24,Journal,57
