region_name,state_name,lat_avg,lng_avg,percent_covered,percent_qualified
05408,Vermont,44.511158760274419,-73.253280509278056,97.615158444952627,72.724230254350729
57730,South Dakota,43.765005218731481,-103.60094030670777,45.19735341090577,54.316002019182228
57751,South Dakota,43.889359384541592,-103.41024601481877,51.066098081023455,38.204592901878911
02816,Rhode Island,41.692624555000016,-71.573321579062466,70.112179487179489,68.445714285714288
02860,Rhode Island,41.871576356112953,-71.3914101293304,99.832115346632435,86.190523296072811
02909,Rhode Island,41.817594472985206,-71.449819366394522,99.723826261611848,88.771399798590124
03046,New Hampshire,43.100880453619467,-71.606556581998774,9.4811018577834716,68.243243243243242
19804,Delaware,39.721662347058825,-75.610010766047765,98.197343453510442,84.430641821946168
57105,South Dakota,43.52414724930604,-96.733075507933862,97.302884142139973,67.243297926150731
59937,Montana,48.405537928558196,-114.36278741344987,7.48712667353244,38.101788170563964
